기관ID,주소,병원분류,병원분류명,기관명,병원경도,병원위도,작업시간
E1100017,서울특별시 은평구 은평로 195 (녹번동),R,보건소,은평구보건소,126.92882350898024,37.602521838789165,2026-08-07 14:53:15.0
A1100025,"서울특별시 서대문구 연희로 272, 동신병원 본관동 (홍은동)",A,종합병원,의료법인동신의료재단동신병원,126.93658306608872,37.58110428173239,2026-08-07 14:53:15.0
A1100041,"서울특별시 관악구 남부순환로 1636, 양지병원 (신림동)",A,종합병원,의료법인서울효천의료재단에이치플러스양지병원,126.93253922577287,37.48427507045319,2026-08-07 14:53:15.0
A1100030,"서울특별시 강북구 도봉로 301 (수유동, 대한병원)",A,종합병원,의료법인성화의료재단대한병원,127.02267251878474,37.63547043209498,2026-08-07 14:53:15.0
A1100023,서울특별시 은평구 통일로 873 (갈현동),A,종합병원,의료법인청구성심병원,126.91955399169245,37.62079154435882,2026-08-07 14:53:15.0
A1100075,"서울특별시 중랑구 망우로 511, 동부제일병원 지하1~6층 (망우동)",A,종합병원,의료법인풍산의료재단동부제일병원,127.1090292210168,37.60067564592665,2026-08-07 14:53:15.0
A1100020,"서울특별시 도봉구 우이천로 308, 한일병원 (쌍문동)",A,종합병원,의료법인한전의료재단한일병원,127.02902417950423,37.64611570419094,2026-08-07 14:53:15.0
A1100005,서울특별시 양천구 안양천로 1071 (목동),A,종합병원,이화여자대학교의과대학부속목동병원,126.8862159683056,37.53654282637804,2026-08-07 14:53:16.0
A1120796,"서울특별시 강서구 공항대로 260, 이화의대부속서울병원 (마곡동)",A,종합병원,이화여자대학교의과대학부속서울병원,126.8362659275,37.557261149,2026-08-07 14:53:16.0
A1100016,"서울특별시 노원구 동일로 1342, 상계백병원 (상계동)",A,종합병원,인제대학교상계백병원,127.06311619032102,37.6485812672986,2026-08-07 14:53:16.0
A1122381,서울특별시 성동구 왕십리로 382 (하왕십리동),A,종합병원,재단법인베스티안재단베스티안서울병원,127.028019796271,37.5651102845783,2026-08-07 14:53:16.0
A1100009,"서울특별시 송파구 올림픽로43길 88, 서울아산병원 (풍납동)",A,종합병원,재단법인아산사회복지재단서울아산병원,127.10823825113607,37.526563966361216,2026-08-07 14:53:16.0
E1100023,"서울특별시 종로구 자하문로19길 36, (옥인동)",R,보건소,종로구보건소,126.96927846264842,37.58183450604867,2026-08-07 14:53:16.0
A1100003,서울특별시 동작구 흑석로 102 (흑석동),A,종합병원,중앙대학교병원,126.96079378447554,37.50707428493414,2026-08-07 14:53:16.0
A1100057,"서울특별시 강남구 논현로 566, 강남차병원(역삼동650-9, 606-4, 605외2필지(지하7층~지하1층, 지상2층~7층)) (역삼동)",A,종합병원,차의과학대학교강남차병원,127.03466865188072,37.506800025850865,2026-08-07 14:53:16.0
A1100160,서울특별시 서초구 헌릉로 260 (내곡동),B,병원,서울특별시어린이병원,127.068851404997,37.4557172797141,2026-08-07 14:53:12.0
E1100012,"서울특별시 성북구 화랑로 63, (하월곡동)",R,보건소,성북구보건소,127.03958133379797,37.602615951359006,2026-08-07 14:53:13.0
A1100012,서울특별시 서초구 반포대로 222 (반포동),A,종합병원,학교법인가톨릭학원가톨릭대학교서울성모병원,127.00472725970137,37.501800804785276,2026-08-07 14:53:17.0
A1100008,"서울특별시 성북구 고려대로 73, 고려대병원 (안암동5가)",A,종합병원,학교법인고려중앙학원고려대학교의과대학부속병원(안암병원),127.02647086385966,37.58715608002366,2026-08-07 14:53:17.0
A1100053,서울특별시 강동구 진황도로61길 53 (둔촌동),A,종합병원,한국보훈복지의료공단중앙보훈병원,127.14671886173552,37.528220900896635,2026-08-07 14:53:17.0
A1100027,"서울특별시 노원구 노원로 75, 한국원자력의학원 (공릉동)",A,종합병원,한국원자력의학원원자력병원,127.08269315796588,37.628815981330355,2026-08-07 14:53:17.0
A1100055,"서울특별시 영등포구 신길로 1 (대림동, 강남성심병원)",A,종합병원,한림대학교강남성심병원,126.9086725295,37.4932492859,2026-08-07 14:53:17.0
A1100038,"서울특별시 영등포구 버드나루로7길 12 (영등포동7가, 한강성심병원)",A,종합병원,한림대학교한강성심병원,126.91033000120589,37.52346674579277,2026-08-07 14:53:17.0
A1100013,서울특별시 성동구 왕십리로 222-1 (사근동),A,종합병원,한양대학교병원,127.04488284061982,37.559944533564746,2026-08-07 14:53:18.0
A1100051,서울특별시 광진구 자양로 85 (자양동),A,종합병원,혜민병원,127.08360130258502,37.535315660180416,2026-08-07 14:53:18.0
A1100049,서울특별시 금천구 시흥대로 244 (시흥동),A,종합병원,희명병원,126.90056251863875,37.45567063464179,2026-08-07 14:53:18.0
